scorer,fold,direction,selected_scope,n_points,n_matches,n_orientations,mean_score,observed_rate,calibration_gap,brier_score,log_loss,calibration_in_the_large,ece,max_calibration_error,eligible_target_points,scored_target_points,abstained_target_points,point_coverage,delta_brier_vs_population,delta_log_loss_vs_population,delta_ece_vs_population
server_opponent_equal,2021,body,global,1840,80,143,0.5070463171821148,0.4907608695652174,0.016285447616897375,0.24919493730050146,0.6915440598318288,0.016285447616897375,0.005376702646096547,0.29315312057512893,9296,6653,2643,0.715684165232358,-0.0010744774710560456,-0.002142027772959576,-0.0007432996402251622
server_opponent_equal,2021,T,surface,2941,186,336,0.49376396207032636,0.4787487249234954,0.015015237146830951,0.24978753604013884,0.692725841396221,0.015015237146830951,0.005376702646096547,0.29315312057512893,6344,4401,1943,0.6937263556116016,-0.00035816306607874826,-0.0007127982968064828,-0.0007432996402251622
server_opponent_equal,2021,T,global,1460,102,155,0.4953942862905416,0.5054794520547945,-0.01008516576425289,0.24831470058826274,0.6897672762065038,-0.01008516576425289,0.005376702646096547,0.29315312057512893,6344,4401,1943,0.6937263556116016,-0.001654693872119195,-0.0033186921135160974,-0.0007432996402251622
server_opponent_equal,2022,wide,surface,7633,382,728,0.5182673444399565,0.5194549980348487,-0.0011876535948922573,0.2485604657914813,0.6902597374162144,-0.0011876535948922573,0.00725315290727373,0.027837021865165124,13216,10024,3192,0.7584745762711864,-0.0009978683556467471,-0.002003645969311796,0.002735721564114742
server_opponent_equal,2022,wide,global,2391,141,241,0.5121262760881885,0.5173567544960268,-0.0052304784078383015,0.24914080969869215,0.6914223938879668,-0.0052304784078383015,0.00725315290727373,0.027837021865165124,13216,10024,3192,0.7584745762711864,-0.0005601405566899864,-0.001126571415029587,0.002735721564114742
server_opponent_equal,2022,body,surface,7516,377,718,0.5064047830331319,0.5071846726982437,-0.0007798896651118881,0.24968172900372207,0.6925115346473755,-0.0007798896651118881,0.00725315290727373,0.027837021865165124,14454,10479,3975,0.7249896222498963,-0.0003015788847926526,-0.0006023604483240685,0.002735721564114742
server_opponent_equal,2022,body,global,2963,143,246,0.5062063351021452,0.5160310496118798,-0.009824714509734656,0.24922632376533257,0.6916081691330456,-0.009824714509734656,0.00725315290727373,0.027837021865165124,14454,10479,3975,0.7249896222498963,-0.0005679020054369377,-0.0011274280118265256,0.002735721564114742
server_opponent_equal,2022,T,surface,6055,363,686,0.4988879652064254,0.511478117258464,-0.012590152052038617,0.24999100579100356,0.6931348992703064,-0.012590152052038617,0.00725315290727373,0.027837021865165124,11122,8001,3121,0.7193850026973566,0.00010517077122340623,0.00021619941280881516,0.002735721564114742
server_opponent_equal,2022,T,global,1946,141,228,0.4977068710453136,0.512332990750257,-0.014626119704943374,0.24965182682809528,0.6924663935377819,-0.014626119704943374,0.00725315290727373,0.027837021865165124,11122,8001,3121,0.7193850026973566,-0.00026805505497423665,-0.0005205479555427939,0.002735721564114742
server_opponent_equal,2023,wide,surface,8000,375,730,0.5150758393937623,0.5195,-0.004424160606237626,0.24941001826825465,0.6919691549875675,-0.004424160606237626,0.006789900956148626,0.09121564173483954,13692,10281,3411,0.7508764241893077,-0.00024152731327353738,-0.0004810253266757103,0.004217236977667325
server_opponent_equal,2023,wide,global,2281,126,224,0.5173666298689645,0.498903989478299,0.01846264039066553,0.24932596577974098,0.6918045860833653,0.01846264039066553,0.006789900956148626,0.09121564173483954,13692,10281,3411,0.7508764241893077,-0.0010306573759968907,-0.0020562776349396517,0.004217236977667325
server_opponent_equal,2023,body,surface,8382,370,722,0.5034855761678635,0.4952278692436173,0.008257706924246211,0.24946964683596018,0.6920923876735613,0.008257706924246211,0.006789900956148626,0.09121564173483954,13981,10678,3303,0.7637508046634719,-0.0005544011634985302,-0.001102795599953077,0.004217236977667325
server_opponent_equal,2023,body,global,2296,124,222,0.4989926883657903,0.5135017421602788,-0.014509053794488469,0.24947123509319402,0.6920867035893439,-0.014509053794488469,0.006789900956148626,0.09121564173483954,13981,10678,3303,0.7637508046634719,-0.0003746228860067591,-0.0007521712623854704,0.004217236977667325
server_opponent_equal,2023,T,surface,6131,361,695,0.49819485941473646,0.5111727287555048,-0.012977869340768333,0.2503985230341827,0.6939547430361923,-0.012977869340768333,0.006789900956148626,0.09121564173483954,10923,8209,2714,0.7515334615032501,0.0005231198735196618,0.0010568102442088945,0.004217236977667325
server_opponent_equal,2023,T,global,2078,132,226,0.4978212786238488,0.49326275264677577,0.0045585259770730135,0.2501536190114084,0.6934617901030776,0.0045585259770730135,0.006789900956148626,0.09121564173483954,10923,8209,2714,0.7515334615032501,7.574467804477569e-05,0.00015885642428314917,0.004217236977667325
